sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,cost,country_of_manufacture,description,fcc_attribute,gallery,gift_message_available,harmonizedcode_attribute,image,image_label,is_bestseller,is_new,is_sale,item_height,item_length,item_width,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,msrp,msrp_enabled,nafta_attribute,name,price,ready_to_ship,required_options,short_description,sip_attribute,size,small_image,small_image_label,special_from_date,status,tax_class_id,textileindicator_attribute,textileman_attribute,thumbnail,thumbnail_label,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
,,,,Shop by Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shop by Brand/Zorah Biocosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOR973160-PLHP-830724000853,,Default,simple,Health & Beauty,Main Category,base,,,"This product restructures the skin, stimulating its collagen and elastin production to repair and tighten old or damaged skin. Bioserum structure hydrates, tones and reduces redness in just a few days! 86% improvement of skin’s tone and vitality*. 69% reduction of blemishes caused by Rosacea after only 5 days of use.",,,,,/product_image/ZOR/ZOR973160-PLHP-830724000853.jpg,/product_image/ZOR/ZOR973160-PLHP-830724000853.jpg,No,No,No,4,4,4,Zorah Biocosmetics,,"Repairs and restructures, Structure, Pure Argan, Organic, Skin Care Products, Vegan, Gluten Free","Repairs and restructures, Structure, Pure Argan, Organic, Skin Care Products, Vegan, Gluten Free",Structure-Bioserum Rebuild&Revital.,113.1,Yes,,Structure-Bioserum Rebuild&Revital.,75.46,,,"Repairs and restructures, Structure, Pure Argan, Organic, Skin Care Products, Vegan, Gluten Free",,20 ml,/product_image/ZOR/ZOR973160-PLHP-830724000853.jpg,/product_image/ZOR/ZOR973160-PLHP-830724000853.jpg,,1,6,,,/product_image/ZOR/ZOR973160-PLHP-830724000853.jpg,/product_image/ZOR/ZOR973160-PLHP-830724000853.jpg,4,1,20,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/product_image/ZOR/ZOR973160-PLHP-830724000853.jpg,Structure-Bioserum Rebuild&Revital.,1,0
,,,,Health & Beauty/Makeup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shop by Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shop by Brand/Zorah Biocosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOR973210-PLHP-830724000389,,Default,simple,Health & Beauty,Main Category,base,,,"Kaïla gently and deeply cleans and purifies the skin. Used for thousands of years by North American Natives to detoxify and deeply cleanse skin, Canadian elderflower has a calming and effect on skin. Kaïla soothes inflamed skin while boosting its immune defense system. Caress your face with this mild and relaxing gel that will leave your skin soft and glowing. Suitable for all skin types including sensitive and acne-prone skin.",,,,,/product_image/ZOR/ZOR973210-PLHP-830724000389.jpg,/product_image/ZOR/ZOR973210-PLHP-830724000389.jpg,No,No,No,4,4,4,Zorah Biocosmetics,,"Calms inflammation and purifies your skin, Kaila, Pure Argan, Organic, Skin Care Products, Vegan, Gluten Free","Calms inflammation and purifies your skin, Kaila, Pure Argan, Organic, Skin Care Products, Vegan, Gluten Free",Kaïla-2 in 1 Cleansing Gel,48.36,Yes,,Kaïla-2 in 1 Cleansing Gel,33.6,,,"Calms inflammation and purifies your skin, Kaila, Pure Argan, Organic, Skin Care Products, Vegan, Gluten Free",,120 ml,/product_image/ZOR/ZOR973210-PLHP-830724000389.jpg,/product_image/ZOR/ZOR973210-PLHP-830724000389.jpg,,1,6,,,/product_image/ZOR/ZOR973210-PLHP-830724000389.jpg,/product_image/ZOR/ZOR973210-PLHP-830724000389.jpg,4,1,20,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/product_image/ZOR/ZOR973210-PLHP-830724000389.jpg,Kaïla-2 in 1 Cleansing Gel,1,0
,,,,Health & Beauty/Makeup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shop by Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shop by Brand/Zorah Biocosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
